,vessel.mmsi,vessel.name,vessel.flag
18657,354458000,BAO LUCKY,PAN
18711,576711000,FRIO ATHENS,VUT
18714,357832000,YONG XIANG 9,PAN
18857,341464000,ATLANTIC REEFER,KNA
18862,441987000,JOCHOH,KOR
18878,725000573,DON LUIS,CHL
18880,510022000,ASIA STAR NO.1,FSM
18978,514117000,YONG HANG 9,KHM
18979,367436650,LYNDA,USA
18995,273417040,DANKO,RUS
19032,259288000,RONJA CARRIER,NOR
19034,258599000,DOENNALAKS,NOR
19068,616735000,SALY REEFER,COM
19089,352349000,FRIO SHINANO,PAN
19160,636017396,TAIHO MARU,LBR
19372,367486040,NUSHAGAK SPIRIT,USA
19476,273356010,SIVUCH,RUS
19573,367392530,LAST FRONTIER,USA
19586,374048000,SHIN HO CHUN NO.101,PAN
19778,367186180,DOLPHIN,USA
19783,273419350,ATLANTIC LADY,RUS
20015,273848200,TATARSTAN,RUS
20016,371785000,JONATHAN STAR,PAN
20064,412694950,FUYUANYU F86,CHN
20075,273439230,ICE CRYSTAL,RUS
20228,273384930,VYSOTSK,RUS
20519,374321000,M/V IRIS REEFER,PAN
20569,412440515,FU YUAN YU YUN 65,CHN
20570,367777000,VIKING.QUEEN,USA
20572,548003100,MARIA ERLINDA,PHL
20575,370890000,FORTUNA REEFER,PAN
20644,273389770,ORION-1,RUS
20826,351543000,LIAOYU REEFER 1,PAN
20911,412440837,FU YUAN YU YUN 088,CHN
20927,412440033,FU YUAN YU F53,CHN
20928,367529230,TRADITION,USA
20931,367097520,JENNIFER A,USA
20951,257315000,SVARTFOSS,NOR
20952,271072044,MAZHAR YEREBASMAZ,TUR
20964,273844500,CAESAR,RUS
20971,636016700,GREEN GLACIER,LBR
20973,616852000,GABU REEFER,COM
21144,431601121,GENPUKUMARU NO.67,JPN
21145,352274000,BOYANG BERING,PAN
21186,367312010,LOIS ANDERSON,USA
21191,440044000,SEIN HONOR,KOR
21204,356567000,SHANGHAI REEFER,PAN
21230,273563210,OSTROV SHIKOTAN,RUS
21273,273512400,TAMBOV,RUS
21763,273829410,SAKHRYBA,RUS
21790,273384970,NOVIY SVET,RUS
22087,441834000,M/V IRIS,KOR
22091,367018680,NEW ST. JOSEPH,USA
22113,529781000,ZHONG XIANG,KIR
22117,352796000,MV.KHANA,PAN
22147,374762000,LADY TUNA,PAN
22209,367494020,VIKING,USA
22216,374140000,SHIN HO CHUN NO.102,PAN
22484,273383370,-RUNAWAY BAY,RUS
22487,431263000,GOUTAMARU,JPN
22491,636013649,HUMBOLDT BAY,LBR
22492,273815050,KOMSOMOL KALININGRAD,RUS
22608,271073324,ASLISAH,TUR
22679,341244000,NOVAYA ZEMLYA,KNA
22680,412549515,FU YUAN YU YUN 991,CHN
22703,367348005,HARMONY 1,USA
22708,273354920,ICE WIND,RUS
22915,725000949,PATAGON 7,CHL
22917,273421900,LAFAYETTE,RUS
22918,352085000,HUA FU 107,PAN
22938,412420331,RONGZHOULUN,CHN
23006,367019820,ROBERTA M,USA
23011,273210110,PAMYAT KIROVA,RUS
23149,273337510,CRYSTAL ARCTICA,RUS
23365,353773000,FRIO AEGEAN,PAN
23416,413692650,FU YUAN YUAN F76,CHN
23420,373443000,FRIO ATLANTIC,PAN
23445,273352840,SAN DIEGO,RUS
23492,273317810,CANOPUS,RUS
23621,366688750,WESTWARD,USA
23626,356258000,SHUN ZE LENG 7,PAN
23863,412329639,LURONGYUANYUYUN158,CHN
23866,354424000,YACHIYO,PAN
24046,367348240,RELIANCE,USA
24059,273820700,PRIMORYE,RUS
24201,529087000,LAKE HILL,KIR
24223,441240000,SL ARCHI,KOR
24258,367632260,NOTORIOUS,USA
24262,412440688,FU YUAN YU YUN 997,CHN
24412,370866000,SEIWA,PAN
24418,273353640,BIKIN,RUS
24677,664090000,KAIHO MARU,SYC
24698,412336767,LURONGYUANYUYUN188,CHN
24727,273387370,ZOLOTOY ROG,RUS
24986,306118000,AGURTZA BERRIA,BES
24988,273814050,OZERSK,RUS
25004,352351000,AVUNDA REEFER,PAN
25043,525500663,BANDAR NELAYAN 2018,IDN
25100,271072044,AVCI RECEBINA-1,TUR
25111,416542000,HER WEN NO.1,TWN
25261,431601123,GENPUKUMARU NO.73,JPN
25263,412549057,HAI LI LENG 7,CHN
25264,576276000,SHIN FUJI,VUT
25268,367116310,WILD SALMON,USA
25275,371717000,HAI FENG 698,PAN
25502,366943880,JOANN MARIE,USA
25532,440664000,SL BOGO,KOR
25870,431072000,SOHOMARU NO.26,JPN
